"Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","males_occ_management","fem_occ_professional","fem_occ_management","num_occupants_crowded","phone_service"
"37049960600",1075,165,310,250,722,0,46,167,2101,17,0,13,0,91261,3653763
"37049960700",111,59,111,93,207,0,0,59,800,11,0,52,0,91261,3653763
"37049960800",2372,520,476,434,542,0,43,443,2169,0,0,0,0,91261,3653763
"37049960900",1229,284,239,227,493,1,40,236,1937,26,0,0,0,91261,3653763
"37049961001",1314,234,381,308,407,0,45,389,1716,62,0,57,0,91261,3653763
"37049961002",492,118,216,164,390,118,32,141,868,44,0,41,0,91261,3653763
"37049961100",1263,15,621,509,376,1,24,456,2742,49,0,110,0,91261,3653763
"37049961201",350,58,122,122,42,0,0,177,3774,0,0,0,0,91261,3653763
"37049961202",289,0,45,23,9,0,0,30,866,0,0,0,0,91261,3653763
"37049961301",573,7,410,252,251,173,29,271,1863,8,0,0,0,91261,3653763
"37049961302",1394,185,439,362,113,19,47,274,3413,0,0,24,0,91261,3653763
"37049961303",1357,75,220,155,445,0,45,188,1218,20,0,10,0,91261,3653763
"37041930101",2703,501,621,564,716,0,122,444,2994,30,0,30,0,91261,3653763
"37041930102",411,25,167,149,148,21,44,145,504,118,0,8,0,91261,3653763
"37041930200",1706,215,571,313,928,0,29,239,1509,0,0,29,0,91261,3653763
"37133000102",276,86,628,481,509,1,29,332,2555,26,0,71,0,91261,3653763
"37133000103",628,48,343,247,457,0,10,408,1706,10,0,26,0,91261,3653763
"37133000201",1106,110,424,290,695,352,126,396,2723,56,0,33,0,91261,3653763
"37133000202",1196,43,595,458,505,0,79,455,3356,10,0,31,0,91261,3653763
"37133000301",800,370,326,268,765,0,18,298,2562,21,0,48,0,91261,3653763
"37133000302",1203,275,599,483,681,83,103,469,3071,49,0,46,0,91261,3653763
"37133000401",116,48,231,141,294,0,40,190,1996,44,0,14,0,91261,3653763
"37133000402",34,0,179,151,361,54,84,199,2998,22,0,73,0,91261,3653763
"37133000403",41,39,82,34,20,0,6,46,717,9,0,2,0,91261,3653763
"37133000500",119,0,0,0,0,0,0,0,0,0,0,0,0,91261,3653763
"37133000600",774,0,0,0,0,0,0,0,0,0,0,0,0,91261,3653763
"37133000700",1316,7,365,341,20,0,7,117,6950,0,0,0,0,91261,3653763
"37133000800",132,0,15,15,0,0,0,46,1158,0,0,0,0,91261,3653763
"37133000900",893,0,284,237,67,36,9,275,5575,11,0,0,0,91261,3653763
"37133001000",498,0,52,52,18,10,0,23,905,0,0,0,0,91261,3653763
