"","Tract","1,3-BUTADIENE","ACETALDEHYDE","BENZENE","CARBON TETRACHLORIDE","DIESEL PM","ETHYLBENZENE","FORMALDEHYDE","HEXANE","LEAD COMPOUNDS","MANGANESE COMPOUNDS","MERCURY COMPOUNDS","METHANOL","METHYL CHLORIDE (CHLOROMETHANE)","NICKEL COMPOUNDS","TOLUENE","XYLENES (MIXED ISOMERS)"
"202",37023021302,-1.01512403672108,-0.527019841306659,-1.12789983264541,-1.01826346340677,-1.09685472187434,-1.04674521053906,-0.275122142736307,-0.892772754243758,-0.526895455960324,-0.415587147801232,-0.599548215889937,-0.636173259072647,-0.684177752373957,-0.755383222137312,-0.88655553410703,-1.03252936488982
"203",37023021400,-0.0982207593853285,-0.183115480977503,0.111659773979099,-0.734742100794495,0.158941415930394,0.0876019903834924,0.0318952894042645,0.0152984644629982,-0.283848239713998,-0.192258323533538,0.331947718513882,-0.388905202505922,0.442294196979232,0.356568830956583,0.333172275078358,0.0725023493231353
"204",3.7025e+10,0.590145841417585,0.82667963181129,0.561883040456933,-0.0284924555033607,0.674170632079534,0.743811946459712,0.887518112102478,0.576495663772139,0.208628361338274,0.324920215294289,-0.261373645376042,0.616357593444155,-0.0610864737209792,-0.384560451294569,0.797537824366045,0.70320964056248
"205",37025040500,-0.000585508988473327,0.81190379669516,0.188740101512362,0.111879757481279,0.257070622972008,0.184983933090182,0.642721263630334,0.17072399680059,0.926693817857209,0.378632012153024,0.314429378835505,0.323643154875037,0.336886258539479,-0.280953108609,0.287242844438264,0.118235612252685
"206",37025040600,-0.138474001921122,0.717908210415827,-0.0142375338402905,0.0306539306936867,0.0408634223886282,0.0141387463933284,0.540648022578676,0.000100064398533524,0.114107167520382,0.198322565624841,-0.136185224137001,0.114855580864431,-0.00861628043433018,-0.459152409106139,0.0892412555032761,-0.040518933188762
"207",37025040701,1.058627917672,0.817279731364966,0.875936892127897,-0.000478090063691956,1.00229549038365,1.12414659456827,1.01929618613662,0.894940334642586,-0.0194307335921217,0.153921797370629,-0.581753788335725,0.46981058453763,0.0423926985385302,-0.734725216402044,1.10946164287509,1.06560194639327
"208",37025040702,1.13269140404071,0.823772677526097,1.01100523285449,0.000105519284136324,1.16939525596932,1.78475676826956,1.02315242819872,1.28690260587621,0.199285630789154,0.187269127184161,-0.379449362908094,0.512679756059527,0.0755777668278255,-0.700607188093182,1.43278558837993,1.73430852958308
"209",37025040703,1.20668615043536,0.841637714211257,1.16593479365331,0.000889039253195061,1.47074029826642,1.30779612020533,1.03359733635999,1.06839516242495,0.0587107991370915,0.200541846764981,-0.360030974882835,0.54514368155887,-0.0764278577419465,-0.539224543915327,1.34410273116624,1.21697759385362
"210",37025040800,1.18873935001747,0.795390347123389,1.11139375271349,0.00070175221886235,1.08037494325411,1.32504708773053,0.955920646003894,1.06204786186302,0.000360202385953217,0.304530609982249,0.157527096669695,0.549055453266623,0.247093606292489,-0.306309335388998,1.33149044947075,1.24721881564121
"211",37025040900,1.28245727561348,0.831722870044155,1.30597867513173,0.00140211259399259,1.57463132083607,1.44924967713752,1.0018884923688,1.17356560810485,0.0840240115568311,0.276121602049485,0.0203635631167973,0.569783818099307,0.0310407392600031,-0.261951209057361,1.48263037473548,1.34384057240566
"212",37025041000,1.06080815953772,0.76529260882397,0.895502070218049,0.00130655238411115,0.658679586038282,1.03519317426867,0.922073509296558,0.844629599878694,0.0466646063141542,0.378858412487856,0.416105621272244,0.572315093993947,0.144049096801828,0.118016755507591,1.09338839272222,0.991632639006178
"213",37025041100,1.24313054051831,0.812847192750172,1.23638620656299,0.00249262070205826,1.38038015859651,1.34508553460795,0.985818369697917,1.09169973536191,0.245470412129372,0.384658794003102,0.416288176080432,0.605828229276164,-0.0220841580068682,0.387715770287425,1.40608002461984,1.2612343870015
"214",37025041200,0.582405702454222,0.680928485997417,0.533251287716322,-0.00832299756703294,0.407350576095171,0.639651953421546,0.792641505255559,0.468956577100085,0.393467841713256,0.411244014345901,1.02840934570767,0.496301711919165,-0.0250202035182866,-0.0953838736566275,0.716160591399408,0.608836241157332
"215",37025041301,0.0472999292157394,0.52287032290824,0.143769844967404,-0.037345207028193,0.111665788390818,0.240799500745954,0.612614634394957,0.0404839804451607,0.458718890134312,0.301902499389044,0.567084313639685,0.313041183429366,-0.455773232291849,-0.311062439218173,0.273916749318737,0.208500159539126
"216",37025041302,0.610477216275517,0.659901784216726,0.533443619860022,-0.0277922647549459,0.639170262161997,0.702838395858644,0.876633210669333,0.423830584928446,1.22697844847121,0.176432343052096,-0.732368424718036,0.769803505136466,-0.139158903837865,-0.298463566594099,0.791333857480469,0.712892875003622
"217",37025041303,0.705749662235882,0.642474097631453,0.675941558617,-0.0398018153563873,0.740222273083893,0.759163649669634,0.881246453370285,0.437403668373234,3.80512007151001,0.06018284658312,-0.978924182760885,0.831785481615908,0.201340478578675,0.158449053115474,0.834305021618132,0.759918445337661
"218",37025041501,0.552424416428625,0.752734202725066,0.485480654862803,-0.000977707964366527,0.593447150914693,0.676926869193477,0.9431842172803,0.402614496763818,0.0835722043575101,0.0473359314364838,-0.697911078995885,0.812459576030374,-0.0126378873839452,-0.581585057303616,0.69365769072066,0.64570196114481
"219",37025041502,0.231200891170036,0.710467543502988,0.237886478549814,0.0220681850093647,0.269645372039134,0.354198339841136,0.82574056878332,0.129418100282351,0.165754651250884,0.413435844854179,-0.431712496114663,0.706404794024451,-0.10887348243424,-0.893646364961312,0.359838440178205,0.319647156189725
"220",37025041503,0.0737736054837226,0.797547552172803,0.16340423382105,0.0962207124676754,0.125909800319007,0.182841088227802,0.725573380095661,0.150346591311446,0.669902805898381,0.0611794869366561,0.338050059101134,0.522324988803385,0.358575813576275,-0.572743191198196,0.297458036147572,0.159114677830077
"221",37025041601,-0.437968351319198,0.742472610794653,-0.299704248082067,0.137739149539203,-0.0968275717441788,-0.224152440530056,0.557813211335556,-0.187701046489527,0.263216273886038,0.387151946778512,-0.278821369205932,0.225064700978909,-0.352128862418985,-0.470137359412847,-0.159340456502611,-0.274031634293399
"222",37025041602,-0.405952256144663,0.745263060061018,-0.444056272461103,0.135410886728469,-0.391549599357392,-0.315449236189894,0.565798547152763,-0.233141877754166,0.293790047978421,0.207632109389938,-0.698621445392025,0.133860332330784,-0.722414398422649,-0.670298613259967,-0.250513444861101,-0.346587431375456
