"","Tract","1,3-BUTADIENE","ACETALDEHYDE","BENZENE","CARBON TETRACHLORIDE","DIESEL PM","ETHYLBENZENE","FORMALDEHYDE","HEXANE","LEAD COMPOUNDS","MANGANESE COMPOUNDS","MERCURY COMPOUNDS","METHANOL","METHYL CHLORIDE (CHLOROMETHANE)","NICKEL COMPOUNDS","TOLUENE","XYLENES (MIXED ISOMERS)"
"1",3.7e+10,-3.98343356358802,0.335758072784781,-1.0837714999535,-0.634607521930773,-1.30997864877141,-2.42789681882543,0.469974332347748,-2.0104848083509,-7.76248730021081,-6.65492853294287,-6.38643233083577,0.32773052379321,0.135657933454936,-8.32019816139412,-0.366382398251364,-1.19985168981494
"2",3.7001e+10,-3.75421213236625,0.408526306849552,-0.947899218472406,-0.634683473654599,-1.12935126617361,-2.20182688091572,0.522135064534794,-1.80612876196144,-7.39034340394493,-6.98119420222208,-6.3889847864045,0.375295475575586,0.132489252752582,-8.45943655170102,-0.0366716228253733,-0.815628901506241
"3",37001020100,-3.52770940320999,0.413699268231913,-0.804350141357704,-0.628052904570215,-0.895782889575049,-1.98506031015257,0.558109927359147,-1.59626182794277,-7.23903946677236,-6.84827542339825,-6.36029095451298,0.416323949572902,0.137561610375721,-8.31648198672914,0.184269691565707,-0.564012909410883
"4",37001020200,-3.51555553805753,0.417573090803074,-0.799089057604448,-0.627805533701691,-0.869077176804707,-1.97230543581091,0.561768299875636,-1.57117845243471,-7.62198168721789,-6.82315658284348,-6.36127976062303,0.422466682127921,0.136507522054625,-8.3341423470338,0.210019650402205,-0.530079276277506
"5",37001020300,-3.57832557441455,0.413561234054712,-0.869658916123333,-0.627810635990293,-1.02567921362864,-2.06643531225845,0.557363836429226,-1.64834993777917,-7.88557303351079,-7.00197141445028,-6.39575532221514,0.415960326786625,0.141709384009579,-8.63363665270938,0.137915764796723,-0.607128042692277
"6",37001020400,-3.71154519224386,0.400112543056138,-0.991698072847026,-0.628189746241254,-1.26000513725658,-2.21871380870674,0.541579320485248,-1.80250797729252,-7.72162559628798,-7.18373201257133,-6.48703627666365,0.379584373778942,0.0522239761688757,-8.65660300644551,-0.031278883491237,-0.798992893260155
"7",37001020501,-3.68921198543635,0.388256733882448,-0.944612430945648,-0.629264842913679,-1.26172171741743,-2.18460802893572,0.531211097156734,-1.79254419686626,-7.33448446731176,-7.32043547927567,-6.40146935286822,0.379415573263386,0.142196793110112,-8.62747595878069,-0.0523379161001366,-0.880724083494238
"8",37001020502,-3.64597383116466,0.397440685796196,-0.91706598157006,-0.628702360437177,-1.18018320583416,-2.13954910942627,0.540502598586046,-1.72548128274237,-7.41548994817385,-7.17493201607528,-6.40155327569448,0.392854219799411,0.133862155416479,-8.49871732397484,0.0210675082742941,-0.77368544749069
"9",37001020601,-3.6088562647355,0.394575672140258,-0.858901644504447,-0.629257401059732,-1.03757298277441,-2.06811291200812,0.538899334818899,-1.69483981579428,-7.02521867997712,-7.09470690465325,-6.35633961521126,0.393090245766463,0.165259075366715,-8.47863821775101,0.0493771090197881,-0.768812826422618
"10",37001020602,-3.57809592242861,0.396449129486368,-0.833142564757426,-0.629243493324281,-0.99248919280849,-2.03242173309788,0.539524910609595,-1.63630372400922,-6.92127514234801,-7.10391782101096,-6.33412183337498,0.401068643806569,0.187449959030422,-8.40765366269006,0.0916971607244632,-0.729560668213024
"11",37001020701,-3.57761240859798,0.397442310715079,-0.833218319439217,-0.629247540463411,-0.940622583765244,-2.02914805159888,0.542019728171795,-1.66030725843731,-6.08454868252059,-7.06825369242737,-6.35663322373996,0.396162947386011,0.163722393044932,-8.37716901342784,0.0813233378350388,-0.732627254652047
"12",37001020702,-3.49208966019949,0.410404285046671,-0.832092739913825,-0.628519491085488,-0.961897765570587,-2.03959332095831,0.559619536516968,-1.66628334905653,-4.41237670425455,-6.98086948873209,-6.39503965179836,0.409479280792384,0.122107901040231,-8.3956443193422,0.109238300397739,-0.663099044694639
"13",37001020801,-3.64971657032505,0.40721469927388,-0.937520320386396,-0.628176460583749,-1.09967348874178,-2.1477978801512,0.548629541365197,-1.74712676843101,-6.50280106842657,-6.98919210226507,-6.46336874032177,0.407391223423198,0.062978742815584,-8.4685767669101,0.0342707044943278,-0.722932492647708
"14",37001020802,-3.47728424789892,0.421219858545553,-0.75713642453091,-0.627802679998569,-0.774816751307873,-1.91788279496364,0.565481070526989,-1.52290810736495,-7.37902764793782,-6.73152920445147,-6.34142339402908,0.429296889151142,0.143702342703836,-8.20039077722588,0.259167962172155,-0.473772303056262
"15",37001020901,-3.58601309048897,0.416500415125465,-0.876196774580699,-0.627809632354541,-1.02058891839234,-2.07542083781766,0.557507896807348,-1.66121437081078,-7.76045304646038,-6.91992907621914,-6.40205891701703,0.434181610083348,0.120619161158751,-8.43845210882767,0.134825981104501,-0.601399158660716
"16",37001020902,-3.76532259715044,0.412318862476973,-1.03001436887391,-0.627827992472128,-1.29263651475782,-2.27973610763067,0.544614712422344,-1.86168913652693,-7.77417079604347,-7.04789585453929,-6.49084004909807,0.419579419331688,0.0605942401784469,-8.63028627804679,-0.0600027794441106,-0.80664038737779
"17",37001021000,-3.47630424673565,0.421915290306539,-0.757385617854644,-0.627803254785281,-0.756585581718135,-1.91542736405133,0.566834216894059,-1.52610797866259,-7.84860769784904,-6.79378191102766,-6.33918995275717,0.429890786212907,0.160167882952443,-8.35568012968637,0.27151582532714,-0.459236023831432
