"","Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","fem_occ_professional","num_occupants_crowded","phone_service","Cluster"
"1",37101040100,0.362940780154847,0.309748023001778,0.558054711856338,0.425680550652636,0.383664541666042,0.130188910980824,0.0926301420366424,0.251329524613755,0.585816602959304,0.189256455129872,0.144603627555089,0.0712053565970449,0.986847989691518,1
"2",37101040201,0.496633511270821,0.12406052948074,0.54854806295854,0.49488332186733,0.513549990371529,NA,0.115373948907552,0.274519772140753,0.5775866072687,0.279508497187474,0.259512887494071,0.122372552467201,0.997292507787886,1
"3",37101040202,0.313187043796377,0.250367840451172,0.3638034375545,0.329541021828653,0.47026997156298,0,0.0615327980307055,0.24341643176162,0.447614624062531,0.0970038758231958,0.188982236504614,0.247834542496308,0.992186555395089,1
"4",37101040203,0.23752118534085,0.113043623137606,0.470487764480061,0.367929713060552,0.312334252441404,0,0.094234947097636,0.267389627970611,0.327527662167894,0.260603276867479,0.187636795430626,0.187894412258884,0.97987105365181,1
"5",37101040301,0.429466298180642,0.400425799704438,0.684628145080396,0.626000845189387,0.56668588971624,0.861497372110148,0.222652135996551,0.28915746598312,0.797045024708369,0.138177707170693,0,0.182503461762739,0.984386238455266,1
"6",37101040302,0.507343035532942,0.318694913202045,0.585320564761138,0.488627828247656,0.558778047155493,0.698978847012861,0.189411471159408,0.330750620792104,0.638701626178205,0.404026374616138,0.0901059367501298,0.204793490927386,0.996963555743411,2
"7",37101040400,0.321472965206575,0.1949658839552,0.545353272793915,0.458831467741124,0.459713605433094,0.650443635587991,0.19346033336267,0.237313039769142,0.590610770161526,0.231672865014833,0.112066362936105,0.105409255338946,0.992663143749713,1
"8",37101040500,0.28474739872575,0.222439130250652,0.498762884702247,0.467505326272712,0.455810886423019,1,0.178000078027449,0.337738042935546,0.617363527065616,0.126819771699252,0.136864854775149,0.165359456941537,0.982264602843857,1
"9",37101040600,0.525441007947076,0.336910140507428,0.657620296961935,0.524291442413166,0.515733676285266,0.350823207722812,0.0750234484920533,0.315466405349572,0.724987219889216,0,0,0.167757530734685,0.98058067569092,2
"10",37101040700,0.51799055016649,0.38295681563726,0.524956959191983,0.404611885176639,0.505689804498877,0.779193722473979,0.198706534531281,0.257744713687972,0.619857982585579,0.186771841909407,0.106600358177805,0.237499734933479,0.977589332234137,2
"11",37101040800,0.482350087497853,0.257153353412312,0.640279335226934,0.588556118891602,0.444418996869291,0.95010667964324,0.175669183447825,0.27962349760262,0.711265415357499,0.429197537639475,0.361550763031094,0.138215774403291,0.99558171623956,1
"12",37101040901,0.447666011999565,0.136466203987287,0.4697615824373,0.413490211576504,0.401092459259908,0.172589785452538,0.161992391761815,0.251230157282622,0.504876316683085,0.233853586673371,0.283483561002032,0.140540716528191,0.994056831473254,1
"13",37101040902,0.471239139429878,0.322035129459005,0.53846687549725,0.473175543224888,0.44875402578553,0,0.0992876838486922,0.212275681213785,0.558866643039524,0.164834193857179,0.120261423230209,0.339325737066851,0.994067576678344,1
"14",37101041001,0.525888283803502,0.147175574806061,0.531152431066575,0.407677712560346,0.349483622530642,0.594261603291726,0.182064159177762,0.29556583084696,0.503829667688453,0.240918986470469,0.201883417148015,0.10563387985717,0.993249284811622,1
"15",37101041002,0.40285520823949,0.104462422412423,0.485746893559838,0.451481849954721,0.267476264624291,0.699854212223765,0,0.186026435984686,0.621100622373044,0.293381872127449,0.288498412732768,0,0.977466645333857,3
"16",37101041101,0.418521788390434,0.242580221088017,0.515097293988443,0.408725606528284,0.265984441161612,0,0,0.220804095067498,0.463011261171541,0.270386222785751,0.106787212586198,0.17471670970528,1,1
"17",37101041102,0.363025247492157,0.085690971614653,0.455856935941393,0.390314088009733,0.288060818807527,0,0.126671580951385,0.199189901640176,0.460547578864758,0.254927077386314,0.230273612468784,0.069966385339739,0.991807617303697,1
"18",37101041103,0.364786954311694,0.0759934587645922,0.349677854945443,0.300265056744385,0.140992155380319,0,0.071288183326587,0.213477823645038,0.368442352550651,0.107175027345397,0.181818181818182,0.0696491554220498,0.996181204589302,1
"19",37101041201,0.339363891739985,0.225833225141457,0.441066037172165,0.397303195747953,0.476434009704625,1,0.143730613816147,0.18035660331546,0.67610263289963,0.168729816243839,0.208514414057075,0,0.987003996098821,1
