"","Tract","1,3-BUTADIENE","ACETALDEHYDE","BENZENE","CARBON TETRACHLORIDE","ETHYLBENZENE","FORMALDEHYDE","HEXANE","METHANOL","METHYL CHLORIDE (CHLOROMETHANE)","TOLUENE","XYLENES (MIXED ISOMERS)","DIESEL PM","LEAD COMPOUNDS","MANGANESE COMPOUNDS","MERCURY COMPOUNDS","NICKEL COMPOUNDS"
"1973","37179020902",19.9120879120879,92,22.7252747252747,46.8131868131868,26.6813186813187,64.4835164835165,31.8681318681319,65.1428571428572,9.49450549450549,29.6263736263736,26.6813186813187,32.1318681318681,57.8461538461538,87.8681318681319,8.3956043956044,23.6483516483516
"1974","37179021004",49.9340659340659,95.8241758241758,45.7142857142857,45.2307692307692,48.0879120879121,84.2197802197802,51.7362637362637,81.5384615384615,11.8241758241758,49.6263736263736,47.5164835164835,52,64.0879120879121,93.8461538461538,20.6593406593407,20.7032967032967
"1975","37179021005",36.1758241758242,88.0879120879121,36.9230769230769,46.5494505494505,39.5604395604396,74.1538461538462,40.8351648351648,70.3296703296703,71.956043956044,41.1428571428571,39.7802197802198,44.9230769230769,62.9450549450549,90.0659340659341,65.8901098901099,28.3076923076923
"1976","37179021006",71.4725274725275,95.1208791208791,67.3846153846154,44.8351648351648,70.8571428571428,89.3186813186813,68.6593406593407,94.5934065934066,92.2197802197802,70.1978021978022,70.021978021978,73.4945054945055,55.6043956043956,95.8681318681319,32.3516483516484,33.8461538461538
"1977","37179021007",61.4065934065934,98.3296703296703,64.2197802197802,47.0769230769231,63.2087912087912,88,60.5714285714286,94.5494505494506,29.1868131868132,63.2527472527473,61.5824175824176,66.989010989011,73.010989010989,97.6703296703297,78.1098901098901,32.2197802197802
"1978","37179021008",55.6043956043956,97.5824175824176,56.2637362637363,46.8571428571429,57.3186813186813,86.8571428571429,58.1538461538462,92.8351648351648,74.1538461538462,57.0549450549451,55.956043956044,61.3186813186813,59.6923076923077,98.1538461538462,55.8241758241758,39.4725274725275
"1979","37179021009",55.1208791208791,96.7472527472527,58.0659340659341,45.6703296703297,57.8901098901099,86.0659340659341,61.010989010989,88.7472527472527,53.5384615384615,57.6263736263736,56.1318681318681,64.8791208791209,58.8571428571429,97.7582417582418,74.9450549450549,42.7692307692308
"1980","37179021010",71.1208791208791,93.7142857142857,66.4615384615385,44.5714285714286,68.8791208791209,88.7912087912088,69.978021978022,92.3516483516484,81.2307692307692,68.5274725274725,67.3406593406593,71.9120879120879,68.7472527472528,93.6263736263736,48.1318681318681,38.5054945054945
"1981","37179021011",59.3846153846154,95.5604395604396,59.2087912087912,45.010989010989,59.1648351648352,86.7692307692308,60.3516483516484,86.8571428571429,26.1538461538462,59.3846153846154,58.1978021978022,64.6153846153846,76.3956043956044,94.021978021978,51.6043956043956,29.1868131868132
"1982","37179021012",51.6483516483517,96.0879120879121,49.978021978022,45.5384615384615,52.4395604395604,85.0549450549451,57.0989010989011,85.5824175824176,28.5274725274725,52,50.6373626373626,56.6593406593407,60.6593406593407,96.7912087912088,40,32.3956043956044
