"","Tract","1,3-BUTADIENE","ACETALDEHYDE","BENZENE","CARBON TETRACHLORIDE","ETHYLBENZENE","FORMALDEHYDE","HEXANE","METHANOL","METHYL CHLORIDE (CHLOROMETHANE)","TOLUENE","XYLENES (MIXED ISOMERS)","DIESEL PM","LEAD COMPOUNDS","MANGANESE COMPOUNDS","MERCURY COMPOUNDS","NICKEL COMPOUNDS"
"176","37015960100",0.00613002049,1.21647456008,0.22266406861,0.54206909577,0.0353886582759,1.29889495669,0.139128692575,1.1140250731,1.11791766,0.283386630588,0.099152277852,0.134088167,0.000238165715,0.0004948879587,0.0016917560499,0.0002652432214
"177","37015960200",0.0062812256,1.31811538701,0.225807018534,0.54204396487,0.036140483831,1.37946491378,0.0906288804887,1.1199651492,1.1348584,0.2877433961128,0.1003287268241,0.1359111334531,0.0002482483878,0.000518778257109,0.001696803345352,0.000232215941
"178","37015960300",0.00659728905,1.296973447464,0.2251114788562,0.54208317813,0.03457169895157,1.3614013481881,0.07915236193772,1.0754444607,1.09572342,0.28709524744279,0.09743740880675,0.13587699934,0.000248753396406,0.000531300131354,0.001670391529996,0.0002149042448
"179","37015960400",0.00701567954,1.224973224034,0.227740900513,0.54203286392,0.0353535559849,1.319447498178,0.2414160001763,1.6304799166,1.14803272,0.2871106087417,0.1009114985134,0.132462361913,0.00023881582611,0.000636958351474,0.00165395821626,0.0002565982044
"180","37017950100",0.007342101845,1.5532196598952,0.21570002667333,0.5387782074,0.0329536103172,1.5188242138559,0.0645752896678,1.2907062535,1.12846512,0.2776723605522,0.093965682359,0.12913716545,0.00023970210996,0.000729138745402,0.001584103403388,0.00026672828532
"181","37017950200",0.00856275432,1.59711382014772,0.23361143352164,0.538783795,0.039122762404299,1.59179013783907,0.090595859838159,1.3454843567,1.12178252,0.324380110871176,0.113090953604848,0.143965836749,0.000262581512356,0.000689981673772,0.001590078121487,0.000223273881871
"182","37017950300",0.009125720235,1.58160779458096,0.239371631941271,0.5385163717,0.044561012208792,1.58187918511106,0.107579118559873,1.5115388215,1.0510924,0.352205989201415,0.126480927165244,0.1561464690376,0.000254597541789,0.000605497734585,0.001564578697264,0.000196322751035
"183","37017950400",0.010842194381972,1.56388260041113,0.260607848977269,0.5386241779,0.04327445323829,1.55486056288241,0.08143341063097,1.2454551458,1.19231028,0.359993665329294,0.1304612533241,0.152849415763,0.000441274948613,0.000741961431072,0.001716232393637,0.000173864597422
"184","37017950500",0.00874416132384,1.5554158278973,0.232440846592474,0.5383999748,0.038161351798222,1.55512192151512,0.078480781069272,1.228431042,0.96579236,0.322639916599932,0.112731260691579,0.14666183702612,0.00030451363633,0.000660444364093,0.001535654750213,0.000223845152097
"185","37017950600",0.0073773975107,1.5312612206093,0.21731929304342,0.5383526828,0.0344863207616,1.4996776623052,0.0626476267716,1.2798450098,1.10852964,0.2855339882,0.0992942719867,0.13040835736,0.0002461013795,0.000736195926032,0.001562311595619,0.00021398739045
"186","37019020101",0.00856917855,1.428216857288,0.2135930928934,0.53860792512,0.040047404406,1.48566955941,0.06450944027,2.2501334222,1.0130364,0.31808861241,0.148386645181,0.1521320032,0.000236178938,0.00100665609801,0.00146069031718,0.0003464415412
"187","37019020102",0.00862708071,1.400822992729,0.2279793022358,0.53845298142,0.044750916117,1.46475637272,0.06707563818,1.7846011254,1.02058948,0.338481726403,0.160487264995,0.1705222329,0.000253738299,0.00097705359348,0.00149901143227,0.00034303034521
"188","37019020103",0.00970632857,1.347269970093,0.246166293653,0.53776376411,0.048274743664,1.41383925917,0.07391894535,1.2712267138,1.04594917,0.372772654917,0.161458707009,0.1963244271,0.000255096937,0.00081686019326,0.0017684155984,0.0004386703692
"189","37019020104",0.01373218633,1.30520330187,0.285725645641,0.5381228487,0.06614530806,1.43306377034,0.10385647415,1.3887436316,0.97788142,0.51006243498,0.240796460391,0.2830115821,0.000251057575,0.00092753612719,0.00180129543633,0.0005962424226
"190","37019020201",0.0161755344,1.22191922365,0.299385641681,0.5378769468,0.07514540526,1.3843456102,0.11806718068,1.282086192,1.24604723,0.58522586095,0.2953011568326,0.3431355474,0.000229805479,0.00098702367905,0.00171196821031,0.0005925487882
"191","37019020202",0.012803707763,1.13545082245,0.235633698253,0.5374149831,0.04571881698,1.29599835516,0.0743443999,1.0757809131,1.20005939,0.3653281723,0.1680593712541,0.237845425,0.0003811193485,0.00116280315153,0.0016064052107,0.0006620136585
"192","37019020203",0.00985816903,1.286904681597,0.242373276173,0.53745250751,0.042520772175,1.38279344432,0.06911954793,1.1508092591,1.12542961,0.34308677111,0.1366782384153,0.1832163463,0.000253353965,0.00072678866549,0.00185474258918,0.00044519509744
"193","37019020204",0.008886803372,1.12126940962,0.215025347295,0.53718844952,0.03697430932,1.25884112037,0.05831137614,0.9805667112,1.13753565,0.29430979034,0.1153226390058,0.1718856045,0.0003882995451,0.000775980516764,0.0016902598164,0.000426548824
"194","37019020303",0.006885538636,1.069780734011,0.2042740520571,0.53720525645,0.0325343871,1.20043520483,0.0512642232,0.9691589166,1.26383636,0.259886658516,0.09491744327981,0.15135322627,0.0001902576902,0.0007948396219,0.00158317895399,0.00034504037914
"195","37019020304",0.009414915725,1.037966419342,0.226004239062,0.53711464123,0.037082569951,1.19176314664,0.05784189291,0.906416417,1.19994407,0.29502208125,0.112770068086574,0.1876144245,0.0020191510803,0.000882446722915,0.0015456264796,0.00043785210109
"196","37019020305",0.0106139819,0.960434361884,0.239593058763,0.53703600639,0.043088068136,1.15347348917,0.06619330388,0.84101988663,1.06316823,0.33511313477,0.137792699249851,0.2822403315,0.0019635442783,0.002070973916472,0.001490757679,0.000604356444872
"197","37019020306",0.008893553798,0.948862120202,0.220081314426,0.53703426254,0.041398746949,1.13937286439,0.05903315579,0.8366563812,1.07043432,0.29270784379,0.14086402532996,0.2177187804,0.0009961118833,0.003354361804598,0.0016739589062,0.000495691776554
"198","37019020307",0.004516870986,0.689769105529,0.202699898085,0.5357632194,0.027426352492,0.9371050146,0.04363135015,0.6347688906,1.06622419,0.22484134426,0.077300148954108,0.1866509867,0.0003569854775,0.001247766770365,0.0018279714801,0.000412922531706
