"Tract","pop_non_hispanic_black","vehicle_none","family_type_single","family_type_female_householder","over_25_less_than_hs_graduate","below_poverty_line","public_assistance","over_16_unemployed","housing_rental","males_occ_professional","males_occ_management","fem_occ_professional","fem_occ_management","num_occupants_crowded","phone_service"
"37063001802",0.578087927424983,0.0404772049424798,0.457733249843456,0.316844082654978,0.255175517551755,0.414941494149415,0.0187473370259906,0.0885698303188514,0.350519808935094,0.0347091932457786,0,0.0235183443085607,0,0.0694503621644653,0.987643800596506
"37063001806",0.502139534883721,0,0.268456375838926,0.25320317266626,0.115135135135135,NA,0.0097629009762901,0.0443857965451056,0.14133880290882,0.0775681341719078,0,0.0276792051100071,0,0,1
"37063001807",0.540353089533417,0.0334016993847055,0.344102178812923,0.264462809917355,0.131686569605758,0.16542750929368,0.0143568707881629,0.0776321474866772,0.247629195524774,0.104968944099379,0,0.111220958971824,0,0.0178728391444477,0.980076179314386
"37063001808",0.323971260613978,0.0072661217075386,0.19087367835281,0.170840289371174,0.0670020580836954,0.0344827586206897,0,0.045080279950597,0.0764331210191083,0.15530303030303,0,0.172073342736248,0,0.00499545867393279,1
"37063001809",0.339688911189162,0.0543478260869565,0.446601941747573,0.424943988050784,0.159114583333333,0,0.0125418060200669,0.0500902527075812,0.524408656265727,0.194672131147541,0,0.106531881804044,0,0.0572742474916388,0.993311036789298
"37063001900",0.0428249436513899,0.0192813321647677,0.085995085995086,0.0614250614250614,0.0636882129277567,NA,0.00438212094653812,0.0457427536231884,0.0924117205108941,0.131241084165478,0,0.129432624113475,0,0.014022787028922,0.992112182296231
"37063002007",0.282604230848223,0.0349364791288566,0.182634730538922,0.101047904191617,0.0424118548799182,0.503649635036496,0.0167876588021779,0.0155844155844156,0.166423357664234,0.0565737051792829,0,0.171751412429379,0,0.014065335753176,0.95508166969147
"37063002008",0.0426770126091174,0,0.092948717948718,0.061965811965812,0.0309503051438535,0,0,0.0292445166531275,0.0908503071451665,0.239554317548747,0,0.115853658536585,0,0,0.987509758001561
"37063002009",0.836240090600227,0.123798756359525,0.489503816793893,0.375,0.196457855034438,0.644067796610169,0.0904465799886942,0.0625893112317805,0.38410896708286,0,0,0.043956043956044,0,0.040135669869983,0.973431317128321
"37063002013",0.234683061267755,0.0131027253668763,0.210077519379845,0.141860465116279,0.101024473534434,0.559405940594059,0.0141509433962264,0.0653071760454311,0.25185499258003,0.151138716356108,0,0.147426981919332,0,0.00943396226415094,0.983228511530398
"37063002015",0.296502976190476,0.151652892561983,0.397840531561462,0.235880398671096,0.15153143471252,0,0.0194214876033058,0.0487690504103165,0.765981519894399,0.0973154362416107,0,0.0924287118977384,0,0.0607438016528926,0.973140495867769
"37063002016",0.339031339031339,0.093796711509716,0.553366174055829,0.361247947454844,0.25703125,0,0.00448430493273543,0.0316079762409843,0.912351265292442,0.0366541353383459,0,0.0259128386336867,0,0.0792227204783259,0.986547085201794
"37063002017",0.0876580898386393,0.0628930817610063,0.151515151515152,0.0995670995670996,0.0174544028240832,0,0.00440251572327044,0.0186718337149903,0.319055944055944,0.184419713831479,0,0.0705693664795509,0,0.00723270440251572,0.960691823899371
"37063002018",0.162871524448706,0.0396572827417381,0.155555555555556,0.120987654320988,0.0268729641693811,0,0,0.0321745057941377,0.357271526360034,0.114319387153801,0,0.134600760456274,0,0.00342717258261934,0.980416156670747
"37063002019",0.0547027027027027,0.0354523227383863,0.251578947368421,0.217894736842105,0.0309885342423303,0,0.006519967400163,0.0323302661029595,0.399218919505316,0.244329896907216,0,0.0209643605870021,0,0,1
"37063002020",0.20964581763376,0,0.0336358782701548,0.0240256273358249,0.0214601769911504,0.0176991150442478,0,0.0214388785817357,0.0299138842725487,0.30970625798212,0,0.183800623052959,0,0,1
"37063002021",0.262484263533361,0.10514440433213,0.249797898140663,0.232821341956346,0.0668876167520338,0.4,0.00451263537906137,0.0624673288029273,0.636037934668072,0.251082251082251,0,0.11003861003861,0,0.0171480144404332,0.991425992779783
"37063002022",0.322884699693117,0.0650581645842309,0.349693251533742,0.336546888694128,0.0481594243011348,0,0,0.0819502074688797,0.586131226684222,0.200180342651037,0,0.23681592039801,0,0.025420077552779,0.976734166307626
"37063002023",0.210433556573846,0,0.11032531824611,0.11032531824611,0.0390835579514825,0,0,0.0265560165975104,0.466271312083024,0.275456919060052,0,0.159253945480631,0,0.040912667191188,0.97639653815893
"37063002024",0.209375517641213,0.0172413793103448,0.0877777777777778,0.0727777777777778,0.00796144982191494,0,0,0.0320908909706996,0.226933907569985,0.197384806973848,0,0.130410342889264,0,0,0.994370161857847
"37063002025",0.42544,0.0359168241965974,0.244675040961223,0.231021299836155,0.0767803293899327,0.092948717948718,0.0374291115311909,0.051459777357698,0.175573744182314,0.147230320699708,0,0.130841121495327,0,0.0120982986767486,0.984877126654064
"37063002026",0.700184038815459,0.122496147919877,0.562157935887412,0.464425332290852,0.0901007705986959,NA,0.013482280431433,0.0572893446277307,0.558566139347021,0.0355029585798817,0,0.118245888801879,0,0.00385208012326656,0.988828967642527
"37063002027",0.416554591025798,0.0154185022026432,0.38364434687157,0.306805708013172,0.100911974623315,0.319066147859922,0.0278083700440529,0.0538783093358105,0.586836622135066,0.204419889502762,0,0.0853517877739331,0,0.0280837004405286,0.969162995594714
"37063002028",0.353538241601144,0.00870348139255702,0.227972889710413,0.159581022797289,0.0220369267421084,0,0.0165066026410564,0.0941419000171792,0.511365260900643,0.285785536159601,0,0.185567010309278,0,0.0126050420168067,0.979591836734694
"37063002100",0.265880812049771,0.00595238095238095,0.0933400605449041,0.0721493440968718,0.101777059773829,0,0,0.0225563909774436,0.074674776144619,0.199140401146132,0,0.14175506268081,0,0,0.980442176870748
"37063002200",0.192287091590787,0.0892655367231638,0.364942528735632,0.221264367816092,0.101186322400558,0,0.0146892655367232,0.0405323653962492,0.732531500572738,0.291469194312796,0,0.168765743073048,0,0.0666666666666667,0.966101694915254
"37063002300",0.581443298969072,0.235119047619048,0.6,0.6,0.442488262910798,0.133333333333333,0.0446428571428571,0.0498220640569395,0.949117341640706,0,0,0,0,0.116071428571429,1
"37063980100",0,0,0,0,0,NA,0,0.510204081632653,0,0,0,NA,NA,0,1
